metabolics_all_avg,subjectname,condname,experimentname,trialname
7.166939,demb014,dembnoloadfree,dembia,trial04
7.166939,demb014,dembnoloadfree,dembia,trial05
5.604109,demb014,dembnoloadslow,dembia,trial02
5.604109,demb014,dembnoloadslow,dembia,trial03
5.604109,demb014,dembnoloadslow,dembia,trial05
7.890412,demb014,dembloadedfree,dembia,trial02
7.890412,demb014,dembloadedfree,dembia,trial03
7.890412,demb014,dembloadedfree,dembia,trial04
9.149388,demb014,dembloadedmatched,dembia,trial01
9.149388,demb014,dembloadedmatched,dembia,trial03
3.424765192,sild001,sildbw0,silder,trial01
4.829831192,sild001,sildbw5,silder,trial01
6.502667192,sild001,sildbw10,silder,trial01
2.427757192,sild001,sild10w0,silder,trial01
4.798074192,sild001,sild10w5,silder,trial01
6.548494192,sild001,sild10w10,silder,trial01
3.676096192,sild001,sild20w0,silder,trial01
5.179624192,sild001,sild20w5,silder,trial01
7.306673192,sild001,sild20w10,silder,trial01
3.838043192,sild001,sild30w0,silder,trial01
5.709567192,sild001,sild30w5,silder,trial01
7.742269192,sild001,sild30w10,silder,trial01
3.201939,sild001b,sildbw0,silder,trial01
9.017109,sild001b,sildbwrun0,silder,trial01
3.588644,sild001b,sild10w0,silder,trial01
9.677889,sild001b,sild10wrun0,silder,trial01
4.027492,sild001b,sild20w0,silder,trial01
11.303259,sild001b,sild20wrun0,silder,trial01
3.922528,sild001b,sild30w0,silder,trial01
10.695799,sild001b,sild30wrun0,silder,trial01
2.29885,sild002,sildbw0,silder,trial01
3.478459,sild002,sildbw5,silder,trial01
5.761601,sild002,sildbw10,silder,trial01
1.853132,sild002,sild10w0,silder,trial01
3.922997,sild002,sild10w5,silder,trial01
6.370696,sild002,sild10w10,silder,trial01
2.313324,sild002,sild20w0,silder,trial01
3.70038,sild002,sild20w5,silder,trial01
5.884389,sild002,sild20w10,silder,trial01
1.928205,sild002,sild30w0,silder,trial01
4.26847,sild002,sild30w5,silder,trial01
6.971607,sild002,sild30w10,silder,trial01
2.67566,sild003,sildbw0,silder,trial01
4.36676,sild003,sildbw5,silder,trial01
6.11377,sild003,sildbw10,silder,trial01
2.93526,sild003,sild10w0,silder,trial01
4.56175,sild003,sild10w5,silder,trial01
6.42521,sild003,sild10w10,silder,trial01
3.24261,sild003,sild20w0,silder,trial01
5.14929,sild003,sild20w5,silder,trial01
7.336,sild003,sild20w10,silder,trial01
3.68206,sild003,sild30w0,silder,trial01
5.42327,sild003,sild30w5,silder,trial01
7.96285,sild003,sild30w10,silder,trial01
3.74586,sild004,sildbw0,silder,trial01
5.16498,sild004,sildbw5,silder,trial01
6.92141,sild004,sildbw10,silder,trial01
3.84042,sild004,sild10w0,silder,trial01
5.82555,sild004,sild10w5,silder,trial01
7.63505,sild004,sild10w10,silder,trial01
4.58454,sild004,sild20w0,silder,trial01
6.93268,sild004,sild20w5,silder,trial01
9.36976,sild004,sild20w10,silder,trial01
5.48105,sild004,sild30w0,silder,trial01
7.01055,sild004,sild30w5,silder,trial01
9.41476,sild004,sild30w10,silder,trial01
3.21645,sild005,sildbw0,silder,trial01
4.65047,sild005,sildbw5,silder,trial01
6.75333,sild005,sildbw10,silder,trial01
3.92163,sild005,sild10w0,silder,trial01
5.52677,sild005,sild10w5,silder,trial01
7.6572,sild005,sild10w10,silder,trial01
4.57979,sild005,sild20w0,silder,trial01
6.17174,sild005,sild20w5,silder,trial01
8.39443,sild005,sild20w10,silder,trial01
3.94233,sild005,sild30w0,silder,trial01
5.98667,sild005,sild30w5,silder,trial01
8.99933,sild005,sild30w10,silder,trial01
3.07738,sild007_standing,sildbw0,silder,trial01
4.32493,sild007_standing,sildbw5,silder,trial01
5.82531,sild007_standing,sildbw10,silder,trial01
2.98539,sild007_standing,sild10w0,silder,trial01
4.42981,sild007_standing,sild10w5,silder,trial01
6.7132,sild007_standing,sild10w10,silder,trial01
3.11133,sild007_standing,sild20w0,silder,trial01
5.01493,sild007_standing,sild20w5,silder,trial01
7.32123,sild007_standing,sild20w10,silder,trial01
3.67282,sild007_standing,sild30w0,silder,trial01
5.91169,sild007_standing,sild30w5,silder,trial01
8.00891,sild007_standing,sild30w10,silder,trial01
3.15244,sild007,sildbw0,silder,trial01
4.47497,sild007,sildbw5,silder,trial01
5.84659,sild007,sildbw10,silder,trial01
3.00719,sild007,sild10w0,silder,trial01
4.52707,sild007,sild10w5,silder,trial01
6.72329,sild007,sild10w10,silder,trial01
3.09543,sild007,sild20w0,silder,trial01
4.98677,sild007,sild20w5,silder,trial01
7.26594,sild007,sild20w10,silder,trial01
3.69462,sild007,sild30w0,silder,trial01
5.93349,sild007,sild30w5,silder,trial01
8.03071,sild007,sild30w10,silder,trial01
3.3597,sild009,sildbw0,silder,trial01
4.73345,sild009,sildbw5,silder,trial01
6.34866,sild009,sildbw10,silder,trial01
3.61125,sild009,sild10w0,silder,trial01
4.91366,sild009,sild10w5,silder,trial01
6.73561,sild009,sild10w10,silder,trial01
3.91207,sild009,sild20w0,silder,trial01
5.5765,sild009,sild20w5,silder,trial01
7.77946,sild009,sild20w10,silder,trial01
4.00254,sild009,sild30w0,silder,trial01
5.74604,sild009,sild30w5,silder,trial01
7.83291,sild009,sild30w10,silder,trial01
2.52071,sild010,sildbw0,silder,trial01
3.77818,sild010,sildbw5,silder,trial01
5.58591,sild010,sildbw10,silder,trial01
2.68898,sild010,sild10w0,silder,trial01
3.32477,sild010,sild10w5,silder,trial01
6.12564,sild010,sild10w10,silder,trial01
2.98057,sild010,sild20w0,silder,trial01
4.88741,sild010,sild20w5,silder,trial01
7.27865,sild010,sild20w10,silder,trial01
3.33759,sild010,sild30w0,silder,trial01
5.15983,sild010,sild30w5,silder,trial01
8.05357,sild010,sild30w10,silder,trial01
2.3278,sild012,sildbw0,silder,trial01
4.04794,sild012,sildbw5,silder,trial01
5.87373,sild012,sildbw10,silder,trial01
2.33925,sild012,sild10w0,silder,trial01
4.33491,sild012,sild10w5,silder,trial01
6.64192,sild012,sild10w10,silder,trial01
2.25636,sild012,sild20w0,silder,trial01
4.57193,sild012,sild20w5,silder,trial01
7.27328,sild012,sild20w10,silder,trial01
3.25653,sild012,sild30w0,silder,trial01
5.19248,sild012,sild30w5,silder,trial01
8.16314,sild012,sild30w10,silder,trial01
2.022206,sild013,sildbw0,silder,trial01
4.137389,sild013,sildbw5,silder,trial01
7.079426,sild013,sildbw10,silder,trial01
3.479876,sild013,sild10w0,silder,trial01
5.849943,sild013,sild10w5,silder,trial01
8.798481,sild013,sild10w10,silder,trial01
2.595072,sild013,sild20w0,silder,trial01
6.178536,sild013,sild20w5,silder,trial01
9.702101,sild013,sild20w10,silder,trial01
4.203312,sild013,sild30w0,silder,trial01
6.746617,sild013,sild30w5,silder,trial01
11.767901,sild013,sild30w10,silder,trial01
3.433853,sild016,sildbw0,silder,trial01
